text	tags
=	O
loopbackoff	O
:	O
back	O
off	O
5m0s	O
=	O
=	O
=	O
7	O
restart	O
=	O
=	O
=	O
ing	O
failed	O
container	O
etcd	O
pod	O
"
"	
kernel	O
ffffffff9518da26	O
trace	O
do	O
page	O
fault	O
0x56	O
0x150	O
"
"	
kernel	O
ffffffff9518cfa2	O
do	O
async	O
page	O
fault	O
0x22	O
0xf0	O
"
"	
kernel	O
ffffffff951897a8	O
async	O
page	O
fault	O
0x28	O
0x30	O
"
"	
the	O
container	O
repository	O
authentication	O
credentials	O
could	O
not	O
be	O
found	O
.	O
pull	O
secret	O
not	O
found	O
jenkins	O
nexus	O
prd	O
for	O
jenkins	O
due	O
to	O
secret	O
nexus	O
prd	O
not	O
found	O
the	O
image	O
pull	O
may	O
not	O
succeed	O
"
"	
kernel	O
memory	O
swap	O
:	O
usage	O
614400kb	O
limit	O
9007199254740988kb	O
failcnt	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24028	O
plugin	O
go	O
247	O
:	O
Calico	O
CNI	O
SDN	O
found	O
existing	O
endpoint	O
:	O
kubernetes	O
node	O
projectcalico	O
org	O
v3	O
uat8	O
deveu	O
sosiv	O
etcdcleaner	O
1605115200	O
etcdtest	O
30850082	O
2020	O
11	O
0500	O
est	O
non	O
existent	O
map	O
controller	O
uid	O
:	O
job	O
name	O
etcdcleaner	O
1605115200	O
projectcalico	O
org	O
namespace	O
etcdtest	O
projectcalico	O
org	O
orchestrator	O
k8s	O
projectcalico	O
org	O
serviceaccount	O
sosivio	O
map	O
k8s	O
uat8	O
deveu	O
sosiv	O
io	O
eth0	O
kns	O
etcdtest	O
ksa	O
etcdtest	O
sosivio	O
calia5495a3cf78	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
kernel	O
task	O
in	O
kubepods	O
slice	O
kubepods	O
4fd8	O
895f	O
86abfaa03081	O
slice	O
killed	O
as	O
result	O
of	O
limit	O
of	O
kubepods	O
slice	O
kubepods	O
4fd8	O
895f	O
86abfaa03081	O
slice	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
346	O
:	O
looking	O
up	O
existing	O
affinities	O
for	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
kernel	O
memory	O
:	O
usage	O
614400kb	O
limit	O
614400kb	O
failcnt	O
13927	O
"
"	
the	O
container	O
repository	O
authentication	O
credentials	O
could	O
not	O
be	O
found	O
.	O
pull	O
secret	O
not	O
found	O
jenkins	O
release1	O
for	O
jenkins	O
due	O
to	O
secret	O
release1	O
not	O
found	O
the	O
image	O
pull	O
may	O
not	O
succeed	O
"
"	
kernel	O
kmem	O
:	O
usage	O
0kb	O
limit	O
9007199254740988kb	O
failcnt	O
"
"	
the	O
container	O
repository	O
authentication	O
credentials	O
could	O
not	O
be	O
found	O
.	O
pull	O
secret	O
not	O
found	O
default	O
nexus2	O
for	O
default	O
due	O
to	O
secret	O
nexus2	O
not	O
found	O
the	O
image	O
pull	O
may	O
not	O
succeed	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24028	O
k8s	O
go	O
69	O
:	O
extracted	O
identifiers	O
for	O
cmdaddk8s	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
kernel	O
memory	O
cgroup	O
stats	O
for	O
kubepods	O
slice	O
kubepods	O
4fd8	O
895f	O
86abfaa03081	O
slice	O
:	O
cache	O
0kb	O
rss	O
0kb	O
rss	O
huge	O
0kb	O
mapped	O
file	O
0kb	O
swap	O
0kb	O
inactive	O
anon	O
0kb	O
active	O
anon	O
0kb	O
inactive	O
file	O
0kb	O
active	O
file	O
0kb	O
unevictable	O
0kb	O
"
"	
liveness	O
probe	O
for	O
kube	O
system	O
8913a6a38517bdc2a5cb8fac44845f8c	O
nginx	O
proxy	O
failed	O
failure	O
get	O
http	O
:	O
healthz	O
a	O
tcp	O
connection	O
was	O
attempted	O
connect	O
:	O
cannot	O
communicate	O
with	O
the	O
destination	O
host	O
.	O
the	O
network	O
is	O
unreachable	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
429	O
:	O
trying	O
affinity	O
for	O
ip	O
24	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
kernel	O
memory	O
cgroup	O
stats	O
for	O
kubepods	O
slice	O
kubepods	O
4fd8	O
895f	O
86abfaa03081	O
slice	O
cache	O
0kb	O
rss	O
36kb	O
rss	O
huge	O
0kb	O
mapped	O
file	O
0kb	O
swap	O
0kb	O
inactive	O
anon	O
0kb	O
active	O
anon	O
36kb	O
inactive	O
file	O
0kb	O
active	O
file	O
0kb	O
unevictable	O
0kb	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
22524	O
k8s	O
go	O
533	O
:	O
cleaning	O
up	O
netns	O
container	O
id	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
140	O
:	O
attempting	O
to	O
load	O
block	O
cidr	O
ip	O
24	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
shutting	O
down	O
loopback	O
interface	O
:	O
ok	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24061	O
IP	O
address	O
management	O
go	O
92	O
:	O
auto	O
assign	O
ipv4	O
ipv6	O
addrs	O
for	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
217	O
:	O
affinity	O
is	O
confirmed	O
and	O
block	O
has	O
been	O
loaded	O
cidr	O
ip	O
24	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
kernel	O
pid	O
uid	O
tgid	O
total	O
vm	O
rss	O
nr	O
ptes	O
swapents	O
oom	O
score	O
adj	O
name	O
"
"	
kernel	O
23861	O
239	O
998	O
pause	O
"
"	
the	O
container	O
repository	O
authentication	O
credentials	O
could	O
not	O
be	O
found	O
.	O
pull	O
secret	O
not	O
found	O
default	O
nexus2	O
for	O
default	O
etcdtest	O
due	O
to	O
secret	O
nexus2	O
not	O
found	O
the	O
image	O
pull	O
may	O
not	O
succeed	O
"
"	
starting	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24061	O
IP	O
address	O
management	O
go	O
972	O
:	O
successfully	O
claimed	O
ips	O
:	O
ip	O
24	O
block	O
ip	O
24	O
handle	O
container	O
network	O
interface0	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
936	O
:	O
attempting	O
to	O
assign	O
addresses	O
from	O
block	O
ip	O
24	O
handle	O
container	O
network	O
interface0	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
kernel	O
27726	O
535180	O
154583	O
363	O
967	O
classifier	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24028	O
k8s	O
go	O
372	O
:	O
populated	O
endpoint	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
endpoint	O
v3	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
1397	O
:	O
creating	O
new	O
handle	O
:	O
container	O
network	O
interface0	O
"
"	
stopped	O
lsb	O
:	O
bring	O
up	O
down	O
networking	O
"
"	
2020	O
11	O
warning	O
24028	O
dataplane	O
linux	O
go	O
404	O
:	O
failed	O
to	O
set	O
net	O
ipv6	O
conf	O
calia5495a3cf78	O
accept	O
ra	O
0	O
:	O
open	O
proc	O
sys	O
net	O
ipv6	O
conf	O
calia5495a3cf78	O
accept	O
ra	O
:	O
tried	O
to	O
open	O
a	O
file	O
or	O
change	O
to	O
a	O
directory	O
which	O
was	O
not	O
found	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24051	O
IP	O
address	O
management	O
go	O
959	O
:	O
writing	O
block	O
in	O
order	O
to	O
claim	O
ips	O
block	O
ip	O
24	O
handle	O
container	O
network	O
interface0	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
time	O
2020	O
11	O
11t	O
05	O
00	O
level	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
msg	O
shim	O
containerd	O
shim	O
started	O
address	O
containerd	O
shim	O
sock	O
debug	O
false	O
pid	O
24139	O
"
"	
kernel	O
the	O
kernel	O
killed	O
the	O
running	O
process	O
classifier	O
uid	O
total	O
vm	O
2140720kb	O
anon	O
rss	O
611828kb	O
file	O
rss	O
6504kb	O
shmem	O
rss	O
0kb	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24017	O
k8s	O
go	O
449	O
:	O
wrote	O
updated	O
endpoint	O
to	O
datastore	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
starting	O
lsb	O
:	O
bring	O
up	O
down	O
networking	O
"
"	
liveness	O
probe	O
for	O
rqlite	O
failed	O
failure	O
rqlite	O
"
"	
stopping	O
lsb	O
:	O
bring	O
up	O
down	O
networking	O
"
"	
finished	O
with	O
exit	O
code	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24061	O
IP	O
address	O
management	O
go	O
550	O
:	O
looking	O
up	O
existing	O
affinities	O
for	O
host	O
handle	O
container	O
network	O
interface0	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
executing	O
an	O
operation	O
unmounting	O
a	O
volume	O
to	O
a	O
pod	O
unique	O
name	O
:	O
kubernetes	O
io	O
secret	O
uid	O
:	O
"
"	
readiness	O
probe	O
for	O
kube	O
system	O
8913a6a38517bdc2a5cb8fac44845f8c	O
nginx	O
proxy	O
failed	O
failure	O
get	O
http	O
:	O
healthz	O
a	O
tcp	O
connection	O
was	O
attempted	O
connect	O
:	O
cannot	O
communicate	O
with	O
the	O
destination	O
host	O
.	O
the	O
network	O
is	O
unreachable	O
"
"	
bringing	O
up	O
loopback	O
interface	O
:	O
ok	O
"
"	
rqlite	O
"
"	
ip	O
interface	O
ip	O
none	O
"
"	
kernel	O
8139cp	O
00	O
ens3	O
:	O
link	O
up	O
100mbps	O
full	O
duplex	O
lpa	O
0x05e1	O
"
"	
could	O
not	O
get	O
instant	O
cpu	O
stats	O
:	O
cumulative	O
stats	O
decrease	O
"
"	
stop	O
container	O
image	O
is	O
being	O
downloaded	O
to	O
the	O
node	O
docker	O
rct	O
co	O
il	O
classifier	O
:	O
rc1	O
status	O
:	O
image	O
is	O
up	O
to	O
date	O
for	O
docker	O
rct	O
co	O
il	O
classifier	O
:	O
rc1	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
23972	O
dataplane	O
linux	O
go	O
66	O
:	O
setting	O
the	O
host	O
side	O
virtual	O
ethernet	O
device	O
name	O
to	O
cali6acd7c95ad8	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
stopped	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
22831	O
k8s	O
go	O
372	O
:	O
populated	O
endpoint	O
container	O
id	O
kubernetes	O
node	O
uat4	O
deveu	O
sosiv	O
endpoint	O
v3	O
"
"	
deleting	O
interface	O
904	O
ens3	O
fe80	O
c0ff	O
fea8	O
14ca	O
123	O
interface	O
stats	O
:	O
received	O
sent	O
dropped	O
active	O
time	O
719	O
secs	O
"
"	
executing	O
an	O
operation	O
container	O
volume	O
attachment	O
verification	O
started	O
for	O
volume	O
etcddata	O
unique	O
name	O
:	O
kubernetes	O
io	O
empty	O
dir	O
etcddata	O
pod	O
uid	O
:	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24061	O
IP	O
address	O
management	O
go	O
963	O
:	O
failed	O
to	O
update	O
block	O
ip	O
24	O
error	O
update	O
conflict	O
:	O
calico	O
SDN	O
IP	O
address	O
management	O
blocks	O
10	O
233	O
89	O
24	O
handle	O
container	O
network	O
interface0	O
host	O
uat8	O
deveu	O
sosiv	O
io	O
"
"	
stop	O
container	O
image	O
is	O
being	O
downloaded	O
to	O
the	O
node	O
docker	O
rct	O
co	O
il	O
sosivio	O
node	O
collector	O
release	O
develop	O
24	O
status	O
:	O
image	O
is	O
up	O
to	O
date	O
for	O
docker	O
rct	O
co	O
il	O
sosivio	O
node	O
collector	O
release	O
develop	O
24	O
"
"	
listen	O
normally	O
on	O
907	O
ens3	O
fe80	O
c0ff	O
fea8	O
14ca	O
udp	O
123	O
"
"	
1ab8c9553fd0beb7	O
started	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24033	O
IP	O
address	O
management	O
plugin	O
go	O
253	O
:	O
auto	O
assigning	O
ip	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat8	O
deveu	O
sosiv	O
assignargs	O
IP	O
address	O
management	O
"
"	
new	O
interface	O
found	O
:	O
waking	O
up	O
resolver	O
"
"	
kernel	O
iso	O
9660	O
extensions	O
:	O
microsoft	O
joliet	O
level	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24621	O
dataplane	O
linux	O
go	O
490	O
:	O
Calico	O
CNI	O
SDN	O
deleted	O
device	O
in	O
netns	O
proc	O
23774	O
ns	O
net	O
container	O
id	O
"
"	
kernel	O
iso	O
9660	O
extensions	O
:	O
rrip	O
1991a	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24028	O
k8s	O
go	O
400	O
:	O
added	O
mac	O
interface	O
name	O
and	O
active	O
container	O
id	O
to	O
endpoint	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
endpoint	O
v3	O
"
"	
liveness	O
probe	O
for	O
etcd	O
failed	O
failure	O
2bd2b989ef03251f	O
started	O
"
"	
readiness	O
probe	O
for	O
rqlite	O
failed	O
failure	O
get	O
http	O
:	O
status	O
expected	O
data	O
failed	O
to	O
arrive	O
in	O
a	O
timely	O
manner	O
and	O
exceeded	O
the	O
deadline	O
set	O
as	O
the	O
timeout	O
causing	O
the	O
operation	O
to	O
eventually	O
fail	O
client	O
timeout	O
exceeded	O
while	O
awaiting	O
headers	O
"
"	
deleting	O
interface	O
160	O
ens3	O
ip	O
123	O
interface	O
stats	O
:	O
received	O
26	O
sent	O
26	O
dropped	O
active	O
time	O
4607	O
secs	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24668	O
IP	O
address	O
management	O
plugin	O
go	O
342	O
:	O
releasing	O
address	O
using	O
workloadid	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat8	O
deveu	O
sosiv	O
"
"	
readiness	O
probe	O
for	O
calico	O
node	O
failed	O
failure	O
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
4604	O
confd	O
health	O
go	O
180	O
:	O
number	O
of	O
node	O
with	O
bgp	O
peering	O
established	O
43	O
"
"	
finished	O
scripts	O
processing	O
"
"	
kubernetes	O
node	O
topology	O
manager	O
topology	O
admit	O
handler	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24017	O
plugin	O
go	O
247	O
:	O
Calico	O
CNI	O
SDN	O
found	O
existing	O
endpoint	O
:	O
kubernetes	O
node	O
projectcalico	O
org	O
v3	O
uat8	O
deveu	O
sosiv	O
etcdcleaner	O
1605115200	O
nightly	O
30850105	O
2020	O
11	O
0500	O
est	O
non	O
existent	O
map	O
controller	O
uid	O
:	O
job	O
name	O
etcdcleaner	O
1605115200	O
projectcalico	O
org	O
namespace	O
nightly	O
projectcalico	O
org	O
orchestrator	O
k8s	O
projectcalico	O
org	O
serviceaccount	O
sosivio	O
map	O
k8s	O
uat8	O
deveu	O
sosiv	O
io	O
eth0	O
kns	O
nightly	O
ksa	O
nightly	O
sosivio	O
calia3932a6aacb	O
container	O
id	O
kubernetes	O
node	O
uat8	O
deveu	O
sosiv	O
"
"	
calico	O
node	O
is	O
not	O
ready	O
:	O
felix	O
is	O
not	O
ready	O
:	O
readiness	O
probe	O
reporting	O
503	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24962	O
k8s	O
go	O
540	O
:	O
releasing	O
ip	O
address	O
es	O
container	O
id	O
"
"	
setting	O
volume	O
ownership	O
for	O
var	O
lib	O
kubelet	O
pods	O
volumes	O
kubernetes	O
io	O
configmap	O
sc	O
dashboard	O
provider	O
and	O
fsgroup	O
set	O
if	O
the	O
volume	O
has	O
lot	O
of	O
files	O
then	O
setting	O
volume	O
ownership	O
could	O
be	O
slow	O
see	O
https	O
:	O
github	O
com	O
kubernetes	O
issues	O
69699	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
29316	O
IP	O
address	O
management	O
plugin	O
go	O
214	O
:	O
Calico	O
CNI	O
SDN	O
IP	O
address	O
management	O
request	O
count	O
ipv4	O
ipv6	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat13	O
deveu	O
sosiv	O
"
"	
setting	O
volume	O
ownership	O
for	O
var	O
lib	O
kubelet	O
pods	O
volumes	O
kubernetes	O
io	O
configmap	O
config	O
and	O
fsgroup	O
set	O
if	O
the	O
volume	O
has	O
lot	O
of	O
files	O
then	O
setting	O
volume	O
ownership	O
could	O
be	O
slow	O
see	O
https	O
:	O
github	O
com	O
kubernetes	O
issues	O
69699	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24962	O
k8s	O
go	O
546	O
:	O
teardown	O
processing	O
complete	O
container	O
id	O
"
"	
starting	O
reflector	O
v1	O
secret	O
0s	O
from	O
object	O
etcdtest	O
release	O
"
"	
stopping	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24897	O
dataplane	O
linux	O
go	O
473	O
:	O
Calico	O
CNI	O
SDN	O
deleting	O
device	O
in	O
netns	O
proc	O
23786	O
ns	O
net	O
container	O
id	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24979	O
IP	O
address	O
management	O
plugin	O
go	O
333	O
:	O
released	O
address	O
using	O
handleid	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat8	O
deveu	O
sosiv	O
"
"	
readiness	O
probe	O
for	O
node	O
exporter	O
failed	O
failure	O
get	O
http	O
:	O
a	O
tcp	O
connection	O
was	O
attempted	O
connect	O
:	O
cannot	O
communicate	O
with	O
the	O
destination	O
host	O
.	O
the	O
network	O
is	O
unreachable	O
"
"	
node	O
is	O
not	O
healthy	O
livenessprobe	O
failed	O
"
"	
executing	O
an	O
operation	O
mounting	O
a	O
volume	O
to	O
a	O
pod	O
started	O
for	O
volume	O
etcddata	O
unique	O
name	O
:	O
kubernetes	O
io	O
empty	O
dir	O
etcddata	O
pod	O
uid	O
:	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24979	O
IP	O
address	O
management	O
go	O
1298	O
:	O
releasing	O
all	O
ips	O
with	O
handle	O
1605115200	O
jxlhz	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
29300	O
k8s	O
go	O
373	O
:	O
Calico	O
CNI	O
SDN	O
using	O
ips	O
:	O
ip	O
32	O
container	O
id	O
kubernetes	O
node	O
uat13	O
deveu	O
sosiv	O
"
"	
started	O
kubernetes	O
transient	O
mount	O
for	O
var	O
lib	O
kubelet	O
pods	O
volumes	O
kubernetes	O
io	O
empty	O
dir	O
etcddata	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
29300	O
k8s	O
go	O
400	O
:	O
added	O
mac	O
interface	O
name	O
and	O
active	O
container	O
id	O
to	O
endpoint	O
container	O
id	O
kubernetes	O
node	O
uat13	O
deveu	O
sosiv	O
endpoint	O
v3	O
"
"	
setting	O
volume	O
ownership	O
for	O
var	O
lib	O
kubelet	O
pods	O
volumes	O
kubernetes	O
io	O
and	O
fsgroup	O
set	O
if	O
the	O
volume	O
has	O
lot	O
of	O
files	O
then	O
setting	O
volume	O
ownership	O
could	O
be	O
slow	O
see	O
https	O
:	O
github	O
com	O
kubernetes	O
issues	O
69699	O
"
"	
2020	O
11	O
error	O
24986	O
customresource	O
go	O
136	O
:	O
error	O
updating	O
resource	O
key	O
calico	O
SDN	O
IP	O
address	O
management	O
blocks	O
10	O
233	O
89	O
24	O
name	O
10	O
233	O
89	O
24	O
resource	O
calico	O
SDN	O
IP	O
address	O
management	O
blocks	O
value	O
v3	O
error	O
operation	O
cannot	O
be	O
fulfilled	O
on	O
calico	O
SDN	O
IP	O
address	O
management	O
blocks	O
crd	O
projectcalico	O
org	O
10	O
233	O
89	O
24	O
the	O
object	O
has	O
been	O
modified	O
please	O
apply	O
your	O
changes	O
to	O
the	O
latest	O
version	O
and	O
try	O
again	O
"
"	
bringing	O
up	O
interface	O
ens3	O
:	O
ok	O
"
"	
started	O
for	O
type	O
all	O
to	O
reconfigure	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24668	O
IP	O
address	O
management	O
plugin	O
go	O
321	O
:	O
releasing	O
address	O
using	O
handleid	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat8	O
deveu	O
sosiv	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
24986	O
IP	O
address	O
management	O
go	O
1298	O
:	O
releasing	O
all	O
ips	O
with	O
handle	O
"
"	
processing	O
local	O
scripts	O
"
"	
kernel	O
ipvs	O
:	O
creating	O
netns	O
size	O
2048	O
id	O
1623	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
29300	O
plugin	O
go	O
247	O
:	O
Calico	O
CNI	O
SDN	O
found	O
existing	O
endpoint	O
:	O
kubernetes	O
node	O
projectcalico	O
org	O
v3	O
uat13	O
deveu	O
sosiv	O
etcd	O
sosivio	O
test	O
30850861	O
2020	O
11	O
0500	O
est	O
non	O
existent	O
map	O
app	O
etcdpod	O
controller	O
revision	O
hash	O
:	O
projectcalico	O
org	O
namespace	O
sosivio	O
test	O
projectcalico	O
org	O
orchestrator	O
k8s	O
projectcalico	O
org	O
serviceaccount	O
sosivio	O
statefulset	O
kubernetes	O
io	O
pod	O
name	O
etcd	O
map	O
k8s	O
uat13	O
deveu	O
sosiv	O
io	O
eth0	O
kns	O
sosivio	O
test	O
ksa	O
cali86d914f36bd	O
container	O
id	O
kubernetes	O
node	O
uat13	O
deveu	O
sosiv	O
"
"	
2020	O
11	O
warning	O
25011	O
IP	O
address	O
management	O
plugin	O
go	O
331	O
:	O
asked	O
to	O
release	O
address	O
but	O
it	O
doesn	O
exist	O
ignoring	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat8	O
deveu	O
sosiv	O
"
"	
killing	O
container	O
with	O
30	O
second	O
grace	O
period	O
"
"	
2020	O
11	O
=	O
=	O
=	O
0	O
.	O
5	O
info	O
=	O
=	O
=	O
29316	O
IP	O
address	O
management	O
plugin	O
go	O
253	O
:	O
auto	O
assigning	O
ip	O
container	O
id	O
handleid	O
container	O
network	O
interface0	O
workload	O
uat13	O
deveu	O
sosiv	O
assignargs	O
IP	O
address	O
management	O
"
"	
